calle;calleClean;name;surname;fiabilidad;gender;wikipedia
calle el carmen;el carmen;el;carmen;2;Female;https://es.wikipedia.org/wiki/Virgen_del_Carmen
Calle Emérita Araya;Emérita Araya;Emérita;Araya;2;Female;
Calle La Hilda;La Hilda;La;Hilda;2;Female;
Calle Santa Bárbara;Santa Bárbara;Santa;Bárbara;2;Female;https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Calle Nazareth;Nazareth;Nazareth;;2;Female;
Calle María Ramos;María Ramos;María;Ramos;2;Female;
Calle La Catalina;La Catalina;La;Catalina;2;Female;
Calle La Paula;La Paula;La;Paula;2;Female;
Calle Santa Clara;Santa Clara;Santa;Clara;2;Female;https://es.wikipedia.org/wiki/Clara_de_la_Cruz
Calle Guadalupe;Guadalupe;Guadalupe;;2;Female;
Calle Mónica;Mónica;Mónica;;2;Female;
Calle María Elena;María Elena;María;Elena;2;Female;
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Calle Matilda;Matilda;Matilda;;2;Female;
Calle Santa Cecilia;Santa Cecilia;Santa;Cecilia;2;Female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Calle La Margarita;La Margarita;La;Margarita;2;Female;
Calle Andalucía;Andalucía;Andalucía;;2;Female;
Calle La Eli;La Eli;La;Eli;2;Female;
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
Avenida Lilian;Lilian;Lilian;;2;Female;
Calle Mayra;Mayra;Mayra;;2;Female;
Avenida Bertilia;Bertilia;Bertilia;;2;Female;
Calle Sonia;Sonia;Sonia;;2;Female;
Avenida El Carmen;El Carmen;El;Carmen;2;Female;https://es.wikipedia.org/wiki/Virgen_del_Carmen
Calle La Gardenia;La Gardenia;La;Gardenia;2;Female;
Avenida Magnolia;Magnolia;Magnolia;;2;Female;
Calle Jessenia Zamora;Jessenia Zamora;Jessenia;Zamora;2;Female;
Calle Damaris;Damaris;Damaris;;2;Female;
Calle La Luisa;La Luisa;La;Luisa;2;Female;
Calle La Eva;La Eva;La;Eva;2;Female;https://es.wikipedia.org/wiki/Eva
Calle Isela;Isela;Isela;;2;Female;
Calle Alicia;Alicia;Alicia;;2;Female;
Calle Rosalía;Rosalía;Rosalía;;2;Female;
Calle Santa Lucia;Santa Lucia;Santa;Lucia;2;Female;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Calle La Virgen;La Virgen;La;Virgen;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Calle Julieta;Julieta;Julieta;;2;Female;
Avenida Rosario;Rosario;Rosario;;2;Female;
Calle María Isabel;María Isabel;María;Isabel;2;Female;
Calle La Claudia;La Claudia;La;Claudia;2;Female;
Calle Sophia;Sophia;Sophia;;2;Female;
Calle La Paulina;La Paulina;La;Paulina;2;Female;
Calle Claudia;Claudia;Claudia;;2;Female;
Avenida Alexa;Alexa;Alexa;;2;Female;
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;https://es.wikipedia.org/wiki/Marta_de_Betania
Calle Miranda;Miranda;Miranda;;2;Female;
Calle Nora Villegas;Nora Villegas;Nora;Villegas;2;Female;
Calle Venus;Venus;Venus;;2;Female;https://es.wikipedia.org/wiki/Venus_(mitolog%C3%ADa)
Calle Santa Catalina;Santa Catalina;Santa;Catalina;2;Female;https://es.wikipedia.org/wiki/Catalina_de_Alejandr%C3%ADa
Avenida Victoria;Victoria;Victoria;;2;Female;
Calle La Simona;La Simona;La;Simona;2;Female;
Calle Abelina;Abelina;Abelina;;2;Female;
Avenida Santa Elena;Santa Elena;Santa;Elena;2;Female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Boulevard Alcides Jiménez Rojas;Alcides Jiménez Rojas;Alcides;Jiménez;-2;Male;
Calle Toño Mora;Toño Mora;Toño;Mora;-2;Male;
Calle Tranquilino Sáenz Flores;Tranquilino Sáenz Flores;Tranquilino;Sáenz;-2;Male;
Calle San Martín;San Martín;San;Martín;-2;Male;
Calle San Miguel;San Miguel;San;Miguel;-2;Male;
Calle San Francisco;San Francisco;San;Francisco;-2;Male;
Calle San Isidro;San Isidro;San;Isidro;-2;Male;
Calle San José;San José;San;José;-2;Male;
Calle San Antonio;San Antonio;San;Antonio;-2;Male;
Calle San Juan;San Juan;San;Juan;-2;Male;
Calle Rufino;Rufino;Rufino;;-2;Male;
Calle Santiago Alvarado;Santiago Alvarado;Santiago;Alvarado;-2;Male;
Calle San Vicente;San Vicente;San;Vicente;-2;Male;
