calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle Santa Clara;Santa Clara;Santa;Clara;2;Female;https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs
Calle El Carmen;El Carmen;El;Carmen;2;Female;
Calle La Joaquina;La Joaquina;La;Joaquina;2;Female;
Calle Santa Paula;Santa Paula;Santa;Paula;2;Female;https://es.wikipedia.org/wiki/Paula_Montal
Avenida Amelia;Amelia;Amelia;;2;Female;
Calle Piedades;Piedades;Piedades;;2;Female;
Calle Fátima;Fátima;Fátima;;2;Female;
Calle Sara Soto;Sara Soto;Sara;Soto;2;Female;
Calle Ronda;Ronda;Ronda;;2;Female;
Calle Angélica;Angélica;Angélica;;2;Female;
Calle Higinia;Higinia;Higinia;;2;Female;
Calle Rosalinda;Rosalinda;Rosalinda;;2;Female;
Calle Nazareth;Nazareth;Nazareth;;2;Female;
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Calle María Ramos;María Ramos;María;Ramos;2;Female;
Calle La Catalina;La Catalina;La;Catalina;2;Female;
Calle La Claudia;La Claudia;La;Claudia;2;Female;
Calle Betania;Betania;Betania;;2;Female;
Calle La Paulina;La Paulina;La;Paulina;2;Female;
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;
Calle Claudia;Claudia;Claudia;;2;Female;
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;https://es.wikipedia.org/wiki/Marta_de_Betania
Calle Nora Villegas;Nora Villegas;Nora;Villegas;2;Female;
Calle La Matilde;La Matilde;La;Matilde;2;Female;
Calle Venus;Venus;Venus;;2;Female;https://es.wikipedia.org/wiki/Venus_(mitolog%C3%ADa)
Calle Santa Catalina;Santa Catalina;Santa;Catalina;2;Female;https://es.wikipedia.org/wiki/Catalina_de_Alejandr%C3%ADa
Calle La Simona;La Simona;La;Simona;2;Female;
Calle Santa Cecilia;Santa Cecilia;Santa;Cecilia;2;Female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Calle Abelina;Abelina;Abelina;;2;Female;
Avenida Santa Elena;Santa Elena;Santa;Elena;2;Female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
