calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle San Miguel;San Miguel;San;Miguel;-2;Male;
Calle Sancho;Sancho;Sancho;;-2;Male;
Calle Aníbal Mora;Aníbal Mora;Aníbal;Mora;-2;Male;
Calle San Juan;San Juan;San;Juan;-2;Male;
Calle Guillermo Jim;Guillermo Jim;Guillermo;Jim;-2;Male;
Calle Hernán Rojas;Hernán Rojas;Hernán;Rojas;-2;Male;
Calle Gerardo Rojas;Gerardo Rojas;Gerardo;Rojas;-2;Male;
Calle Fulvio Araya;Fulvio Araya;Fulvio;Araya;-2;Male;
Calle Santiago;Santiago;Santiago;;-2;Male;
Avenida Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male;
Avenida Julián Volio;Julián Volio;Julián;Volio;-2;Male;
Calle San Bosco;San Bosco;San;Bosco;-2;Male;
Radial San Ramón;Radial San Ramón;Radial;San;-2;Male;
Calle David Clean;David Clean;David;Clean;-2;Male;
Calle Julio Salas;Julio Salas;Julio;Salas;-2;Male;
Calle Prudencio Monge;Prudencio Monge;Prudencio;Monge;-2;Male;
Calle Azarías Castro;Azarías Castro;Azarías;Castro;-2;Male;
Calle Porfirio Alvarado;Porfirio Alvarado;Porfirio;Alvarado;-2;Male;
Calle Carlo Elizondo;Carlo Elizondo;Carlo;Elizondo;-2;Male;
Avenida José del Olmo Salvador;José Olmo Salvador;José;Olmo;-2;Male;
Calle Uriel González;Uriel González;Uriel;González;-2;Male;
Calle Rafael Monge;Rafael Monge;Rafael;Monge;-2;Male;
Calle Efraín Zamora;Efraín Zamora;Efraín;Zamora;-2;Male;
Calle San Rafael;San Rafael;San;Rafael;-2;Male;
Calle Jerónimo Cubero;Jerónimo Cubero;Jerónimo;Cubero;-2;Male;
Calle Cayetano;Cayetano;Cayetano;;-2;Male;
Calle Amado Campos;Amado Campos;Amado;Campos;-2;Male;
Calle Esteban;Esteban;Esteban;;-2;Male;
Calle San Luis;San Luis;San;Luis;-2;Male;
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;
